Country,University_Name,Graduation_Year,Employment_Rate_6_Months (%),Employment_Rate_12_Months (%),Average_Starting_Salary_USD,Job_Role,Skill_1,Skill_2,Skill_3,Skill_Demand_Score (1–100),Remote_Work_Availability (%),Employer_Reputation_Score (1–100),High_Employability,Region_Europe,Region_Latin America,Region_Middle East & Africa,Region_North America,Degree_Level_Master,Degree_Level_PhD,Field_of_Study_Computer Science,Field_of_Study_Data Science & AI,Field_of_Study_Engineering,Field_of_Study_Healthcare & Medicine,Field_of_Study_Natural Sciences,Field_of_Study_Social Sciences,Top_Industry_Government/NGO,Top_Industry_Healthcare,Top_Industry_Manufacturing/Construction,Top_Industry_Research/Academia,Top_Industry_Technology,Top_Industry_Technology/Consulting
USA,Harvard,2017,79.3,85.6,66700,Robotics Engineer,AutoCAD,Lean Six Sigma,MATLAB,69,8.8,66,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
USA,MIT,2023,83.8,87.9,84500,Civil Engineer,Lean Six Sigma,AutoCAD,MATLAB,71,65.4,63,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Israel,Technion,2019,81.7,83.2,88300,Public Health Specialist,Clinical Research,Diagnostics,Patient Care,52,5.0,74,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
India,IIT Bombay,2016,84.2,92.1,21000,AI Researcher,DevOps,Python,Cloud Computing,69,10.3,48,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
South Africa,University of Cape Town,2023,83.6,86.3,48600,Management Consultant,Financial Modeling,Data Analysis,Market Research,69,64.0,65,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
South Africa,University of Cape Town,2015,99.0,100.0,39200,Software Engineer,React,Java,Cloud Computing,59,14.1,51,1,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
UK,LSE,2025,71.5,73.8,86000,Management Consultant,Excel,Strategic Planning,Data Analysis,71,90.0,72,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Sweden,Karolinska Institute,2025,81.5,83.5,79800,Economist,Public Policy,Communication,Data Analysis,62,85.4,85,0,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
Netherlands,University of Amsterdam,2023,72.4,78.1,60900,Policy Analyst,Qualitative Research,Communication,Data Analysis,62,63.2,79,0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
UK,Imperial College London,2016,95.9,99.2,78800,Data Analyst,Deep Learning,Big Data,R,68,11.7,84,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
