Country,Region,University_Name,Degree_Level,Field_of_Study,Graduation_Year,Employment_Rate_6_Months (%),Employment_Rate_12_Months (%),Average_Starting_Salary_USD,Top_Industry,Job_Role,Skill_1,Skill_2,Skill_3,Skill_Demand_Score (1–100),Remote_Work_Availability (%),Employer_Reputation_Score (1–100),Year
USA,North America,Harvard,Bachelor,Engineering,-0.9446550721784391,-0.9212337218942649,-0.7140992273083333,0.0674314660851586,Manufacturing/Construction,Robotics Engineer,AutoCAD,Lean Six Sigma,MATLAB,0.2592081798532379,-1.0312194461347997,-0.26278246145730044,-0.9446550721784391
USA,North America,MIT,Bachelor,Engineering,0.9314331173191107,-0.2770629580120998,-0.3727374151935274,0.6488176568329486,Manufacturing/Construction,Civil Engineer,Lean Six Sigma,AutoCAD,MATLAB,0.3951836938649783,0.8358748257513257,-0.4734417869498684,0.9314331173191107
Israel,Middle East & Africa,Technion,Master,Healthcare & Medicine,-0.3192923423459225,-0.5776759811571094,-1.0703028573411715,0.7729338099139375,Healthcare,Public Health Specialist,Clinical Research,Diagnostics,Patient Care,-0.8965836892465556,-1.1565720650953522,0.29897573985621406,-0.3192923423459225
India,Asia-Pacific,IIT Bombay,Master,Computer Science,-1.2573364370946973,-0.21980333455590653,0.2506189373639397,-1.4252285854414708,Technology,AI Researcher,DevOps,Python,Cloud Computing,0.2592081798532379,-0.9817381491766868,-1.526738414412708,-1.2573364370946973
South Africa,Middle East & Africa,University of Cape Town,PhD,Business & Finance,0.9314331173191107,-0.30569276974019644,-0.6102065018820881,-0.52375336832692,Finance/Consulting,Management Consultant,Financial Modeling,Data Analysis,Market Research,0.2592081798532379,0.7896922819237534,-0.33300223662148976,0.9314331173191107
South Africa,Middle East & Africa,University of Cape Town,PhD,Computer Science,-1.5700178020109556,1.8988027333232136,1.4231225528887033,-0.8307775364746293,Technology,Software Engineer,React,Java,Cloud Computing,-0.4206693902054642,-0.8563855302161342,-1.3160790889201401,-1.5700178020109556
UK,Europe,LSE,Master,Business & Finance,1.5567958471516272,-2.0377963792900173,-2.4654337416364593,0.6978108751543916,Finance/Consulting,Management Consultant,Excel,Strategic Planning,Data Analysis,0.3951836938649783,1.6473680958643764,0.15853618952783544,1.5567958471516272
Sweden,Europe,Karolinska Institute,PhD,Social Sciences,1.5567958471516272,-0.6063057928852059,-1.0257774035870668,0.4953055727590939,Government/NGO,Economist,Public Policy,Communication,Data Analysis,-0.21670611918785357,1.4956254518594971,1.0713932666622965,1.5567958471516272
Netherlands,Europe,University of Amsterdam,Master,Social Sciences,0.9314331173191107,-1.9089622265135833,-1.827235571160956,-0.12200897809108757,Government/NGO,Policy Analyst,Qualitative Research,Communication,Data Analysis,-0.21670611918785357,0.7633022568794267,0.6500746156771606,0.9314331173191107
UK,Europe,Imperial College London,Master,Data Science & AI,-1.2573364370946973,1.455040651537723,1.3043880095444238,0.4626434272114653,Technology/Consulting,Data Analyst,Deep Learning,Big Data,R,0.19122042284736768,-0.9355556053491149,1.0011734914981072,-1.2573364370946973
Mexico,Latin America,UNAM,Bachelor,Data Science & AI,-0.9446550721784391,0.4816270527824497,0.22093530152787147,-1.4448258727700478,Technology/Consulting,NLP Specialist,Deep Learning,Big Data,R,-0.21670611918785357,-0.8563855302161342,1.422492142483243,-0.9446550721784391
Israel,Middle East & Africa,Hebrew University of Jerusalem,Bachelor,Engineering,0.9314331173191107,-0.10528408764352205,0.04283348651145139,0.12948954262565304,Manufacturing/Construction,Mechanical Engineer,SolidWorks,AutoCAD,Lean Six Sigma,-0.4206693902054642,1.1063725824556756,1.633151467975811,0.9314331173191107
Sweden,Europe,KTH Royal Institute of Technology,PhD,Business & Finance,1.244114482235369,0.7249804524712681,0.05767530442948552,1.3347227133331503,Finance/Consulting,Marketing Manager,Financial Modeling,Data Analysis,Strategic Planning,0.7351224788943294,1.3471815609851585,-0.33300223662148976,1.244114482235369
South Africa,Middle East & Africa,University of Cape Town,PhD,Social Sciences,-1.2573364370946973,-1.8087578854652482,-1.901444660751131,-1.0888084863008956,Government/NGO,Policy Analyst,Communication,Data Analysis,Qualitative Research,-0.692620418228945,-0.747526676908286,-0.5436615621140577,-1.2573364370946973
South Korea,Asia-Pacific,Seoul National University,Master,Computer Science,-0.3192923423459225,0.4243674293262585,0.7700825644951637,-0.2722548476101794,Technology,Software Engineer,Cybersecurity,Java,SQL,1.0750612639236803,-1.0774019899623717,0.509635065348782,-0.3192923423459225
Singapore,Asia-Pacific,NUS,Bachelor,Data Science & AI,-0.9446550721784391,1.2975766870331926,1.1856534662001446,0.25687191026140477,Technology/Consulting,AI Consultant,Big Data,NLP,Machine Learning,0.3271959368591081,-1.0576094711791266,-1.526738414412708,-0.9446550721784391
Brazil,Latin America,University of São Paulo,Master,Natural Sciences,-0.3192923423459225,-0.44884182838067754,-0.417262868947634,-1.2227232830461732,Research/Academia,Physicist,Statistical Analysis,Laboratory Skills,Scientific Writing,-0.692620418228945,-1.1565720650953522,-0.4734417869498684,-0.3192923423459225
Canada,North America,University of Toronto,PhD,Natural Sciences,-0.9446550721784391,-0.9641784394864088,-0.9960937677509966,0.29606648491855914,Research/Academia,Chemist,Statistical Analysis,Scientific Writing,Experimental Design,-0.4886571472113344,-0.6815516142974689,0.15853618952783544,-0.9446550721784391
Australia,Asia-Pacific,ANU,Master,Engineering,0.9314331173191107,-0.6921952280694939,-1.2484046723575914,0.7468040934758345,Manufacturing/Construction,Electrical Engineer,Project Management,MATLAB,Lean Six Sigma,-0.01274284817024294,1.0074099885394499,2.124689894125136,0.9314331173191107
Argentina,Latin America,University of Buenos Aires,Bachelor,Engineering,-0.6319737072621808,-0.6063057928852059,-0.595364683964052,-1.6016041713986655,Manufacturing/Construction,Civil Engineer,AutoCAD,MATLAB,Lean Six Sigma,-1.4404857452935174,-0.8036054801274806,0.7905141660055393,-0.6319737072621808
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Social Sciences,1.5567958471516272,-1.4652001447280927,-1.0554610394231372,-0.44209800445784836,Government/NGO,Policy Analyst,Public Policy,Data Analysis,Communication,-0.692620418228945,1.6473680958643764,2.124689894125136,1.5567958471516272
China,Asia-Pacific,Fudan University,Bachelor,Data Science & AI,1.5567958471516272,0.20964384136553682,0.2951443911180463,-0.7033951688388775,Technology/Consulting,NLP Specialist,Data Visualization,Deep Learning,Big Data,1.279024534941291,1.1360613606305434,0.08831641436364612,1.5567958471516272
Netherlands,Europe,University of Amsterdam,Bachelor,Computer Science,-1.2573364370946973,0.954018946296039,0.7552407465771296,-0.5074222955531057,Technology,Cybersecurity Analyst,React,DevOps,Cloud Computing,1.4829878059589017,-1.1202857806594029,-0.33300223662148976,-1.2573364370946973
Mexico,Latin America,UNAM,PhD,Social Sciences,1.5567958471516272,-1.2791063684954675,-1.203879218603487,-0.9940882642127725,Government/NGO,Sociologist,Public Policy,Data Analysis,Qualitative Research,1.2110367779354207,1.1162688418472986,0.15853618952783544,1.5567958471516272
USA,North America,Stanford,Bachelor,Healthcare & Medicine,0.6187517524028524,1.1687425342567608,0.8888171078394451,0.6945446605996287,Healthcare,Public Health Specialist,Patient Care,Diagnostics,Clinical Research,-1.032559203258296,0.8292773194902439,0.29897573985621406,0.6187517524028524
Brazil,Latin America,University of São Paulo,Master,Natural Sciences,0.9314331173191107,-0.3915822049244843,-0.5656810481279837,-1.1247368464032872,Research/Academia,Physicist,Laboratory Skills,Experimental Design,Scientific Writing,0.19122042284736768,1.08328131054189,-0.7543208876066256,0.9314331173191107
Germany,Europe,Heidelberg University,Master,Business & Finance,-0.6319737072621808,-0.30569276974019644,-0.6250483198001223,0.5932920094019799,Finance/Consulting,Marketing Manager,Data Analysis,Financial Modeling,Market Research,-0.21670611918785357,-1.1532733119648113,0.7905141660055393,-0.6319737072621808
Canada,North America,McGill University,Master,Data Science & AI,0.3060703874865941,0.1953289355014875,0.5474552957246391,1.0407634034044924,Technology/Consulting,Data Analyst,NLP,Big Data,Data Visualization,1.4150000489530314,0.5983646003523838,1.9842503437967576,0.3060703874865941
France,Europe,PSL University,Bachelor,Healthcare & Medicine,0.9314331173191107,0.0664947827250557,-0.13526832850496867,-0.0174901123386759,Healthcare,Medical Doctor,Clinical Research,Medical Coding,Patient Care,-0.5566449042172046,0.9612274447118782,0.3691955150204034,0.9314331173191107
Canada,North America,UBC,PhD,Engineering,-1.5700178020109556,0.1953289355014875,0.26546075528197594,0.6226879403948457,Manufacturing/Construction,Mechanical Engineer,Lean Six Sigma,AutoCAD,SolidWorks,-0.08073060517611315,-1.0345181992653405,2.124689894125136,-1.5700178020109556
UAE,Middle East & Africa,Khalifa University,Master,Computer Science,1.244114482235369,0.18101402963744018,-0.09074287475086419,0.9787053268639979,Technology,Software Engineer,Java,Cybersecurity,React,1.8229265909882526,1.2449202139383917,0.7202943908413499,1.244114482235369
UAE,Middle East & Africa,Khalifa University,PhD,Healthcare & Medicine,1.244114482235369,0.9826487580241337,0.8146080182492703,1.9520372641833317,Healthcare,Public Health Specialist,Medical Coding,Patient Care,Clinical Research,-0.8965836892465556,1.169048891935952,0.8607339411697286,1.244114482235369
France,Europe,Ecole Polytechnique,Bachelor,Social Sciences,1.5567958471516272,-1.708553544416911,-1.6788173919806064,-0.5368182265459714,Government/NGO,Policy Analyst,Communication,Qualitative Research,Data Analysis,0.5311592078767187,1.357077820376781,0.15853618952783544,1.5567958471516272
Canada,North America,UBC,PhD,Computer Science,-1.2573364370946973,0.22395874722958412,0.3841952986262553,0.9166472503235035,Technology,AI Researcher,Cybersecurity,Java,SQL,0.8031102359001996,-0.8135017395191032,1.0713932666622965,-1.2573364370946973
France,Europe,PSL University,Bachelor,Data Science & AI,-0.3192923423459225,-0.06233937005137812,0.13188439401966037,-0.36370885514353957,Technology/Consulting,Machine Learning Engineer,Deep Learning,Data Visualization,R,1.2110367779354207,-0.905866827174247,2.124689894125136,-0.3192923423459225
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Data Science & AI,-1.2573364370946973,1.4264108398096262,1.4231225528887033,-1.056146340753267,Technology/Consulting,AI Consultant,Machine Learning,Big Data,Deep Learning,0.8710979929060697,-1.0444144586569633,0.7905141660055393,-1.2573364370946973
Australia,Asia-Pacific,University of Melbourne,PhD,Data Science & AI,-0.6319737072621808,0.8681295111117492,0.799766200331234,1.435975364530799,Technology/Consulting,AI Consultant,NLP,R,Data Visualization,0.7351224788943294,-0.6089790454255699,-2.0182768405620335,-0.6319737072621808
USA,North America,UC Berkeley,Master,Computer Science,-1.5700178020109556,-0.36295239319638767,-0.47663014061977255,0.6945446605996287,Technology,Data Scientist,Cloud Computing,Java,SQL,1.00707350691781,-0.9817381491766868,-1.1756395385917615,-1.5700178020109556
Argentina,Latin America,University of Buenos Aires,PhD,Computer Science,-1.2573364370946973,1.5266151808579635,1.408280734970669,-1.3403070070176362,Technology,Cloud Architect,Python,React,Java,0.5991469648825889,-0.9850369023072277,-0.6841011124424363,-1.2573364370946973
Canada,North America,UBC,PhD,Engineering,0.3060703874865941,0.0664947827250557,-0.4914719585378088,1.4490402227498504,Manufacturing/Construction,Electrical Engineer,Project Management,AutoCAD,Lean Six Sigma,-0.14871836218198337,0.11014913703233682,0.8607339411697286,0.3060703874865941
Canada,North America,University of Toronto,PhD,Engineering,1.5567958471516272,-0.47747164010877213,-0.2985283256033525,1.3706510734355417,Manufacturing/Construction,Robotics Engineer,AutoCAD,MATLAB,SolidWorks,0.8710979929060697,1.2515177201994734,-0.40322201178567907,1.5567958471516272
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Natural Sciences,-0.9446550721784391,-1.293421274359515,-0.7586246810624379,-0.8307775364746293,Research/Academia,Biologist,Experimental Design,Laboratory Skills,Scientific Writing,-0.4886571472113344,-1.1565720650953522,0.9309537163339179,-0.9446550721784391
Argentina,Latin America,University of Buenos Aires,Master,Engineering,-1.2573364370946973,0.09512459445315233,-0.2985283256033525,-1.12800306095805,Manufacturing/Construction,Civil Engineer,SolidWorks,AutoCAD,Project Management,-1.2365224742759067,-0.7838129613442354,-0.7543208876066256,-1.2573364370946973
Netherlands,Europe,University of Amsterdam,Master,Natural Sciences,-0.6319737072621808,-0.09096918177947474,-0.31337014352138876,-0.17426841096729342,Research/Academia,Environmental Scientist,Statistical Analysis,Laboratory Skills,Scientific Writing,-0.692620418228945,-1.1565720650953522,-1.1054197634275722,-0.6319737072621808
Japan,Asia-Pacific,University of Tokyo,Master,Data Science & AI,1.5567958471516272,-0.10528408764352205,0.4287207523803598,0.5932920094019799,Technology/Consulting,Machine Learning Engineer,Big Data,Data Visualization,R,0.6671347218884591,1.5022229581205784,0.08831641436364612,1.5567958471516272
Canada,North America,University of Toronto,PhD,Data Science & AI,-1.5700178020109556,0.009235159268862439,0.3990371165442894,1.2987943532307586,Technology/Consulting,AI Consultant,Machine Learning,Big Data,Data Visualization,0.3271959368591081,-1.1532733119648113,0.4394152901845927,-1.5700178020109556
South Korea,Asia-Pacific,Seoul National University,Master,Healthcare & Medicine,-0.6319737072621808,0.35279290000601793,0.443562570298396,-0.08608061798869607,Healthcare,Medical Doctor,Medical Coding,Clinical Research,Patient Care,-0.8965836892465556,-0.9718418897850643,0.6500746156771606,-0.6319737072621808
